Наименование,Цена,Ссылка на изображение,Краткое описание
"
        KTM 505 SX-F
              ","
$ 3 000
                                                             
                                                                                   264 420 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/9/4/69490959ccec70ff564aef05666432bc_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 475
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/8/c/e8c93d4b2c7f06449f44ae4b28d6fda8_240x180.jpg,        мотоцикл                    
"
        Geely JL125T-5C
              ","
$ 669
                                                             
                                                                                   59 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/e/3/de38dc2ff7b60fb6a20b61efa90c6871_240x180.jpg,        скутер                    
"
        Alpina Sherpa
              ","
$ 16 999
                                                             
                                                                                   1 498 292 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/0/b/c0bf48827ab1f9dfac43ada10919d0d3_240x180.jpg,        снегоход                      
"
        Stels Enduro
              ","
$ 964
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/f/9/8f976e7b2a2bf7c7c974e81dddf92fca_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 590
                                                             
                                                                                   52 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/b/a/6ba986940d97e2e1639dbc26cb538c05_240x180.jpg,        скутер                    
"
        Китай (NoName) 1P72MN (LH173MN)
              ","
$ 3 000
                                                             
                                                                                   264 420 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/7/d/f7dd5ca6d8346be12f24fcea1cb87a6d_240x180.jpg,        мотоцикл                    
"
        Honda PCX
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/4/e/54e214b8e6c25d9f0d0bcbd3d5ad60c7_240x180.jpg,        скутер                    
"
        Ducati Diavel
              ","
$ 12 500
                                                             
                                                                                   1 101 750 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/3/4/9341483bce30df9953c4abdced185f2c_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 15 000
                                                             
                                                                                   1 322 100 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/2/8/82896bec9425619fa863e6fa7c7b0458_240x180.jpg,        мотовездеход                    
"
        Triumph Tiger
              ","
$ 11 000
                                                             
                                                                                   969 540 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/7/7/877056d746274d8d16452661cca8f1c9_240x180.jpg,        мотоцикл                    
"
        BMW F 850 GS
              ","
$ 13 700
                                                             
                                                                                   1 207 518 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/e/9/5e907fdad1d81ebb42548cca76907906_240x180.jpg,        мотоцикл                    
"
        BMW C 650 GT
              ","
$ 420
                                                             
                                                                                   37 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/0/4c0dc0bab3085150d10e884521c2e43b_240x180.jpg,        скутер                    
"
        Kawasaki Z 800
              ","
$ 8 500
                                                             
                                                                                   749 190 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/1/d71177dad48e6e8fa7970faa20568bf1_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/a/3/4a3de012b2cf635f2b0ba0e3f0ec4f41_240x180.jpg,        скутер                    
"
        Zongshen CQR-250
              ","
$ 1 418
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/6/066f86244b914bd409ca73fe6fee0c33_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R1
              ","
$ 7 500
                                                             
                                                                                   661 050 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/8/a/38aa754129d396dff4327ef7602f938f_240x180.jpg,        мотоцикл                    
"
        CFMoto 650NK
              ","
$ 17 500
                                                             
                                                                                   1 542 450 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/d/8/8d8ab19ac1c6a72f3c0aa9d66176eae2_240x180.jpg,        мотоцикл                    
"
        CFMoto 650NK
              ","
$ 17 000
                                                             
                                                                                   1 498 380 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/3/f/73f60736f720def0c7182346f90894ef_240x180.jpg,        мотоцикл                    
"
        CFMoto 650NK
              ","
$ 13 700
                                                             
                                                                                   1 207 792 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/8/2/88294af1171825bbd9d466915fbf83a2_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) QM200-2V
              ","
$ 2 000
                                                             
                                                                                   176 280 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/5/fb53c20f094ef786f2c3610177ee9668_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 900
              ","
$ 13 000
                                                             
                                                                                   1 145 820 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/e/9/ce901beaf3819930e302c56c20aa1993_240x180.jpg,        мотоцикл                    
"
        ИЖ 49
              ","
$ 1 050
                                                             
                                                                                   92 547 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/5/c/c5cece163f1f08d4c47ba8eb3e709fe9_240x180.jpg,        скутер                    
"
        Honda VT 250
              ","
$ 1 900
                                                             
                                                                                   167 466 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/c/1/2c13c450a5c60ed98c3337d01ce2a45d_240x180.jpg,        мотоцикл                    
"
        Zongshen ZS250GS
              ","
$ 1 418
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/5/9/95963cf257a5250c4fc838980e60928e_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 3 177
                                                             
                                                                                   280 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/2/4c22952e5adcce9978ad66185ac256b4_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 908
                                                             
                                                                                   79 999 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/b/6/9b617a21f62774bb8c6e767a0fed100a_240x180.jpg,        скутер                    
"
        Suzuki DR 125
              ","
$ 567
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/5/8/258e49498ec5f3eb3624e3c1dd98cbe5_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 624
                                                             
                                                                                   55 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/c/d7c43ae614520246b550e0e26e58fd26_240x180.jpg,        мотоцикл                    
"
        ИЖ Юпитер
              ","
$ 306
                                                             
                                                                                   27 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/1/9/019a70092f86f9bccce58d49630db3a5_240x180.jpg,        мотоцикл                    
"
        Kawasaki BAYOU 220
              ","
$ 1 361
                                                             
                                                                                   120 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/1/3/e13fd807a004f79b7627c6c2c70c9282_240x180.jpg,        мотовездеход                    
"
        Kawasaki Z 900
              ","
$ 10 000
                                                             
                                                                                   881 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/d/5/4d5a47d4599a7a53dd8e31985d1f7518_240x180.jpg,        мотоцикл                    
"
        CFMoto CF800-U2 (Tracker 800)
              ","
$ 25 000
                                                             
                                                                                   2 203 500 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/d/4/0d44e3b54e5228d12f675e43002f9c5e_240x180.jpg,        мотовездеход                    
"
        Honda CD
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/0/f/80fbffb55e3bbfb56bc8bb7b9290b259_240x180.jpg,        мотоцикл                    
"
        Vespa Primavera
              ","
$ 5 100
                                                             
                                                                                   449 616 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/2/0/d209b749619c1b7da0c1ec153120721b_240x180.jpg,        скутер                    
"
        Honda Zoomer
              ","
$ 2 300
                                                             
                                                                                   202 722 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/3/7/13749ad7c2dffd215958a80befe60bf0_240x180.jpg,        скутер                    
"
        Honda Julio
              ","
$ 2 200
                                                             
                                                                                   193 908 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/c/5/5c513c04319e27c56aa20b83e0ddcb80_240x180.jpg,        скутер                    
"
        Daelim Citi Ace 110
              ","
$ 737
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/c/9fc7f8002aeaf4808ee2d6b22640fe9d_240x180.jpg,        скутер                    
"
        BRP Spyder
              ","
$ 10 000
                                                             
                                                                                   881 400 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/b/0/ab0c4706083ce60dd257c6e7b9c182da_240x180.jpg,        мотоцикл                    
"
        Honda CG 125
              ","
$ 1 191
                                                             
                                                                                   105 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/2/6/c2610ca582e2594e6355d6c5fa97f3da_240x180.jpg,        мотоцикл                    
"
        Honda XL
              ","
$ 5 000
                                                             
                                                                                   440 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/e/7/3e7ede22fa834f4345f0b5fc14bc58bd_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZZR 600
              ","
$ 2 269
                                                             
                                                                                   200 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/e/f/3ef3fa7d1e3421f15aa07bc16f34c32e_240x180.jpg,        мотоцикл                    
"
        Yamaha XJR 400 R
              ","
$ 2 269
                                                             
                                                                                   200 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/f/d/bfd5b7b4cf94ffc7db645367d58780b2_240x180.jpg,        мотоцикл                    
"
        Suzuki LT 50
              ","
$ 794
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/d/5/6d58f8f84deae8fb2c3460bc0a301c68_240x180.jpg,        скутер                    
"
        Honda CMX250C
              ","
$ 15 000
                                                             
                                                                                   1 322 100 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/3/8/038eee9df74be5932147093a4d60677b_240x180.jpg,        мотоцикл                    
"
        Kawasaki 250 TR
              ","
$ 2 200
                                                             
                                                                                   193 908 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/2/2/3225d993af0440cac4aced69eed2d263_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 227
                                                             
                                                                                   20 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/7/1/c718f6e074591a4c54eeb20b38279f8b_240x180.jpg,        мотоцикл                    
"
        ИЖ Юпитер
              ","
$ 3 500
                                                             
                                                                                   308 490 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/6/7/76779351f4bc1e22d3448f93c580433c_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 8 200
                                                             
                                                                                   722 748 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/f/06f1b9ae1bb89ffdcb1c02274b64fed7_240x180.jpg,        мотоцикл                    
"
        Suzuki Boulevard
              ","
$ 6 800
                                                             
                                                                                   599 352 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/1/5/815ddba7d988cbf2c0ad069faa3291cd_240x180.jpg,        мотоцикл                    
"
        Элит Комфорт
              ","
$ 737
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/e/6/9e6dcaba5e76c6f53e19144eb6406050_240x180.jpg,        скутер                    
"
        Yamaha YZF 1000 R1
              ","
$ 9 800
                                                             
                                                                                   863 772 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/2/8/028f31afa2adf3f4667ed9df8800ae00_240x180.jpg,        мотоцикл                    
"
        BRP Spyder
              ","
$ 26 000
                                                             
                                                                                   2 291 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/4/5542df0cb0b6d93ed39cd1c739e3d2f4_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 6 800
                                                             
                                                                                   599 352 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/5/c/95c7184e635086a8b1144726ce9d4149_240x180.jpg,        мотоцикл                    
"
        Honda VTX
              ","
$ 9 999
                                                             
                                                                                   881 312 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/3/8/a38d04b7dd51c54722192fa38e2369cd_240x180.jpg,        мотоцикл                    
"
        Daelim SV
              ","
$ 454
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/4/4/b447ad34f4d96abb66dfc3fe0558859c_240x180.jpg,        скутер                    
"
        Китай (NoName) ATV 110
              ","
$ 1 475
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/0/9/809de1db2caa95beded2e56e0b79bf19_240x180.jpg,        мотовездеход                    
"
        Honda CB 500
              ","
$ 3 599
                                                             
                                                                                   317 216 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/5/2/a52539ec505e421f2cc969247ff28304_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 4 700
                                                             
                                                                                   414 258 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/f/6/bf6d4b61702eef873114e7f55ffcf827_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 794
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/e/6/5e6e6bab1b7d9b6ea156a38823afc122_240x180.jpg,        скутер                    
"
        Minsk (Минск) D4 125
              ","
$ 1 361
                                                             
                                                                                   120 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/4/f/c4fc1eb7a220b23ccc3a0cab94b22ff5_240x180.jpg,        мотоцикл                    
"
        Honda Tact
              ","
$ 328
                                                             
                                                                                   28 900 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/d/f/3df891e9b39bdd82d29be7eb9b991534_240x180.jpg,        скутер                    
"
        Yamaha Grizzly
              ","
$ 13 000
                                                             
                                                                                   1 145 820 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/1/7/417401f5bb2ead0d6026fdb5839f9d2f_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 14 000
                                                             
                                                                                   1 233 960 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/4/3/143e0aceb96ef00305a0550cd30e644d_240x180.jpg,        мотовездеход                    
"
        ИЖ Планета
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/6/c/b6cd35ef4324e8eba4b234384d3b5715_240x180.jpg,        мотоцикл                    
"
        ИЖ Иж-1
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/2/c/72cb06c9f6963e1add46d0806bef7fdb_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 9 000
                                                             
                                                                                   793 440 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/6/f/e6f90698688cb6a4bd6b43a8865de126_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R1
              ","
$ 9 200
                                                             
                                                                                   810 888 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/4/9/249fee2f95788f3b0be9f7db6733ec76_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 3 700
                                                             
                                                                                   326 118 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/4/1/6416f488ded86a9e683fd9c5c70240e4_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 20 750
                                                             
                                                                                   1 828 905 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/9/7/b9725f7bca64632be179e2bf2ed78e17_240x180.jpg,        мотоцикл                    
"
        Honda GL 1800
              ","
$ 27 500
                                                             
                                                                                   2 423 850 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/6/b/b6be1e847cfa59c2614cadd7d4e32130_240x180.jpg,        мотоцикл                    
"
        Swift Lucky Strike Soft Tail
              ","
$ 3 000
                                                             
                                                                                   264 420 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/e/b/0eb142303167cab996266481b8a1660e_240x180.jpg,        мотоцикл                    
"
        CZ 350
              ","
$ 1 701
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/b/d/6bd7732927f28f81a89844fb5402f1d7_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ 400
              ","
$ 1 815
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/4/a/e4a88c4ffa5089b25d98ff360978dd68_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) ATV 110
              ","
$ 1 100
                                                             
                                                                                   96 954 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/3/0/030111d72cdb0886e312f53986a8e8cf_240x180.jpg,        мотовездеход                    
"
        Yamaha DT 250
              ","
$ 1 702
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/c/f/9cf6262a94db4b3b8c89f1b1cefd4681_240x180.jpg,        мотоцикл                    
"
        BMW C 1
              ","
$ 964
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/3/a/43abf628458c1e1d4d17121c8cfce537_240x180.jpg,        скутер                    
"
        Honda CBR 1000
              ","
$ 6 500
                                                             
                                                                                   572 910 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/7/067cb3a56b708a91c941ec5177ad352b_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R6
              ","
$ 5 700
                                                             
                                                                                   502 398 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/4/6/c469da5c2066ffa373b584ac7e0fcd4f_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/6/5563c2bb5ddaa48bea06d855dc28c5fb_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) QM200-2V
              ","
$ 681
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/7/e/87ed70f4bf8a3e9bbd6e0f004b2c7e59_240x180.jpg,        мотоцикл                    
"
        ИЖ Юпитер
              ","
$ 511
                                                             
                                                                                   45 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/3/e23d115363a2cba43b4e972096dd399e_240x180.jpg,        мотоцикл                    
"
        CFMoto Jet Max (CF250T-6A)
              ","
$ 1 543
                                                             
                                                                                   136 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/f/7/6f7eb3adc363e94b7c98416a82e30ec7_240x180.jpg,        скутер                    
"
        Yamaha WR
              ","
$ 2 156
                                                             
                                                                                   190 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/2/1/221e9b82d71284d8e057cea789f22eb3_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R1
              ","
$ 4 600
                                                             
                                                                                   405 444 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/1/3/913c3229187e441e2f55087fcdd9ceee_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/3/4/c348ec204ed8c74b17f80ee1b36cea45_240x180.jpg,        мотоцикл                    
"
        Lifan LF125
              ","
$ 1 361
                                                             
                                                                                   120 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/5/8/a58dfe84a31573a3ed799236e46bff8c_240x180.jpg,        скутер                    
"
        Honda CRF
              ","
$ 21 500
                                                             
                                                                                   1 895 010 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/9/e/59ebade49f84ff9724a7fbd5405c411f_240x180.jpg,        мотоцикл                    
"
        Yamaha Jog
              ","
$ 567
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/c/fbc092aba117ea3c5ff1103e32cb6ebf_240x180.jpg,        скутер                    
"
        Suzuki GSR 750
              ","
$ 5 999
                                                             
                                                                                   528 752 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/f/4/bf4948fcce237302bef54c930dc4184a_240x180.jpg,        мотоцикл                    
"
        Suzuki GSF 600 Bandit
              ","
$ 2 383
                                                             
                                                                                   210 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/e/7/0e798816748213909228becd54a7bfe5_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) QM200-2V
              ","
$ 1 820
                                                             
                                                                                   160 415 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/2/c/82c04cf81d43e2604ca83b3b94810f6a_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) YQ50
              ","
$ 1 400
                                                             
                                                                                   123 396 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/0/d/40de5a43b4afc1f0b1e74765b147f24a_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) YQ50
              ","
$ 1 150
                                                             
                                                                                   101 361 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/c/4/ec45eb02476400fdfc7023f6c00180f1_240x180.jpg,        мотоцикл                    
"
        Polaris Ranger
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",,        багги                    
"
        Honda CRF
              ","
$ 3 600
                                                             
                                                                                   317 304 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/6/4/264658ddade39a82919c8eae8ec697b8_240x180.jpg,        мотоцикл                    
"
        Honda Shadow
              ","
$ 5 500
                                                             
                                                                                   484 770 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/a/e/0ae334f75303609e9aab0958c08adcc7_240x180.jpg,        мотоцикл                    
"
        Suzuki AG100 Address
              ","
$ 442
                                                             
                                                                                   39 000 сом
                                                                      ",,        скутер                    
"
        Восход 3
              ","
$ 794
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/4/d/c4dd660c5e104448ead850fe73cb0ab6_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/2/8/c287f03dcb5731165b277d633f2eaa37_240x180.jpg,        скутер                    
"
        Honda Bite 50
              ","
$ 227
                                                             
                                                                                   20 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/7/d/17d86d0150177ba1d763fd7787f2769e_240x180.jpg,        скутер                    
